sa4_code,total_pop,median_age,median_household_income_weekly,pct_india_born,pct_indian_ancestry,area_km2,pop_density_km2
116,400997,34,2109,,13.515562460567036,240.88421768736407,1664.687723628458
125,493515,34,1828,,9.116642857866529,162.83834165924083,3030.7051457987736
213,853054,34,1867,,8.971296072698797,1416.3545735031996,602.2884494876614
212,860060,35,1811,,7.605399623282096,1922.2795276662712,447.41671938011496
115,264371,39,2703,,7.444084260376516,3251.500001017586,81.30739656074512
506,529466,36,1796,,5.283814258139333,2023.991275406028,261.59500114138837
126,202038,38,2206,,5.160910323800473,69.33465254552448,2913.954171290377
210,424328,35,1791,,4.974218057728927,1619.692328712529,261.980619700343
303,371026,35,2022,,4.892109986901188,265.3465466630226,1398.269563580133
209,540664,37,1887,,4.681650710977613,1851.2670107657104,292.0507937838603
801,453890,35,2373,,4.257198880786094,2358.1337236778104,192.4784822177517
123,297292,35,1916,,3.932497342679924,1277.2417525058272,232.76094710867483
302,224598,37,1951,,3.8887256342442944,186.9491370729166,1201.3855935178724
127,474430,35,1713,,3.8509369137702083,540.2774059952064,878.1229693033089
121,424045,40,2623,,3.7812024667193342,275.10061778769324,1541.4178398074462
120,304771,37,2250,,3.77168431379626,64.54685821349642,4721.701542651907
402,455707,37,1428,,3.6920652963417284,939.9937194811529,484.79791998135477
504,276573,37,1817,,3.4370672480683218,1762.4308252245423,156.92701015074633
207,373472,40,2059,,3.395970782280867,146.74312099021358,2545.0733055139744
404,244347,40,1516,,3.27403242110605,159.53949105769058,1531.5769053797624
208,422639,41,2174,,3.074728077626532,161.49785545415418,2616.994503186937
206,617018,34,2006,,3.036702332833078,142.4548089103752,4331.3244720871035
401,312377,41,1815,,2.907384346478774,1497.272842343726,208.63064577530633
899,605,0,0,,2.809917355371901,,
304,189213,38,2316,,2.773065275641737,269.6514994859565,701.6945960274709
211,518301,40,1907,,2.7435795030300927,1878.561127292692,275.9031859383543
505,577297,38,1921,,2.712988288523931,884.0104183885933,653.0432085317707
124,332056,37,1854,,2.6877996482521023,3968.1274576986716,83.68077979848383
701,139902,34,2209,,2.6661520207002045,3167.702637251935,44.165130386534216
503,182267,38,2243,,2.517734971223535,92.25400599913044,1975.7082418916095
314,217700,36,2017,,2.4359209921910887,773.3930262749758,281.4868929560246
119,605118,37,1734,,2.3321071262134,163.9277000730665,3691.371255317341
310,367126,35,1615,,2.32590445787005,6681.1793818505785,54.94928051135667
305,292245,34,2155,,2.226556485140892,81.7380775006971,3575.3838227661713
117,331340,34,2207,,2.1923100138830205,66.10348961994778,5012.443396029321
507,443407,38,1897,,2.0200402790213055,621.0154069676933,714.00321960622
311,359767,35,1593,,1.9634930385499503,2586.1606515902185,139.1123941889615
113,163656,39,1480,,1.619250134428313,56984.98345406508,2.8719144953673834
403,374859,41,1540,,1.612339573012786,663.0775776168716,565.332040554378
216,137618,43,1314,,1.4314987864959525,10933.865204694892,12.586399907409524
203,327878,40,1658,,1.4233952872714852,4428.699801983953,74.03482165422872
601,247086,39,1542,,1.4225816112608565,1695.3616929767807,145.74235163126576
702,89103,31,1706,,1.3276769581271113,1344966.7894502264,0.0662492194594798
317,162059,37,1502,,1.2927390641679881,2258.79490557422,71.74577895499641
118,261410,37,2513,,1.2734784438238782,57.73554451775366,4527.713424779713
309,640778,39,1692,,1.2692383321524772,1857.7787239516335,344.91621189256466
201,173937,42,1376,,1.1222454106946769,10287.477190051688,16.907643806802557
301,239817,42,1890,,1.0549710821167808,653.1320089746691,367.1799830733774
299,9089,0,0,,1.0452194960941799,,
306,253748,41,1445,,0.9927171839778047,21337.979735601602,11.891847454360038
107,313842,40,1684,,0.9785178529323673,1539.2404417077805,203.89407106000522
510,90128,33,2396,,0.9364459435469554,926023.1653335436,0.09732801875160095
318,234283,37,1621,,0.9326327561111989,80036.0951858775,2.9272167695824773
214,308226,44,1604,,0.8685185545671034,853.7685220256152,361.0182292370255
202,167764,43,1432,,0.8577525571636346,11841.907298460543,14.166974607359867
109,123552,44,1341,,0.8538914788914789,97796.49197113085,1.2633581993561904
122,263554,41,2592,,0.8449881238759419,254.20699598135496,1036.7692634994617
111,390519,40,1676,,0.8386275699773891,870.5838434606115,448.5713845178526
102,346596,43,1507,,0.8266108091264758,1681.0119177342776,206.18295227029284
101,238810,45,1544,,0.8215736359448934,51896.246999932,4.601681505028926
104,146127,46,1254,,0.8164131200941647,13229.75914165417,11.045325801882221
105,115566,39,1377,,0.8081961822681412,339355.64397050365,0.34054538963272657
215,155568,44,1274,,0.8022215365627893,78072.98297511571,1.9925971068581352
128,229604,41,2286,,0.7835229351405028,295.85067256240256,776.0807099452193
602,151195,43,1260,,0.7612685604682694,19975.33929859917,7.569082944718891
511,118758,39,1708,,0.7452129540746729,1372044.8034516221,0.08655548251867809
502,107641,45,1286,,0.6902574297897641,1032.863848061003,104.21605926286861
316,398840,44,1574,,0.6882459131481296,3085.910336917252,129.24549207687974
199,11371,0,0,,0.6859555008354586,,
308,228246,38,1626,,0.6431657071755913,117588.0045486394,1.9410653397523023
901,4778,43,1497,,0.6278777731268314,255.7421831943819,18.68287796842802
312,180894,38,1843,,0.6064324963790949,90140.18654076793,2.0068074733591397
103,212962,41,1434,,0.5827330697495328,70297.05987867745,3.0294581361943385
114,161006,48,1357,,0.5633330434890625,6704.96186228617,24.01296283363233
205,300848,46,1260,,0.5560947721108334,41553.111033668,7.240083654777156
204,184935,45,1373,,0.5499229458999108,34006.477008924565,5.438228721883369
406,82646,41,1283,,0.5408610217070396,877772.5776988468,0.09415422866896037
501,188747,43,1478,,0.5377568915002623,24802.412342358886,7.610025887588676
499,3377,0,0,,0.5330174711282203,,
313,264752,42,1383,,0.5314407445458391,4344.456827563236,60.94018435637139
106,291946,40,1557,,0.5113959430853651,21491.290041397104,13.58438695106928
110,185560,41,1328,,0.5049579650786807,99139.90214050231,1.8716984382032378
399,14670,0,0,,0.4498977505112474,,
112,257061,46,1329,,0.4450305569495178,10271.318506681859,25.02706929327259
604,116156,45,1195,,0.4295946830125004,22524.789838807912,5.156807270178169
407,193709,48,1162,,0.4098931903009153,65482.57285490262,2.9581763750979007
319,307745,49,1096,,0.3938325561747551,48502.66957015312,6.344908491168406
509,137175,46,1339,,0.3863677783852743,197345.53108241645,0.6951006148840142
315,79827,34,1576,,0.3820762398687161,1183175.1282752699,0.06746845677559575
108,229035,50,1132,,0.38203767983059356,18851.498713161523,12.14943190909776
799,3500,0,0,,0.37142857142857144,,
217,128069,45,1335,,0.3646471823782492,26379.122948102027,4.854937757102896
699,1377,0,0,,0.29048656499636893,,
599,8055,0,0,,0.2855369335816263,,
307,128622,42,1280,,0.27911243799661023,166346.66376029153,0.7732165893350682
405,114487,48,1183,,0.214871557469407,37716.38279382591,3.035471366006532
603,41734,48,1186,,0.198878612162745,23822.053739373107,1.7519060470853534
297,38,50,0,,0.0,,
397,183,39,1749,,0.0,,
497,12,48,0,,0.0,,
697,19,43,0,,0.0,,
597,514,40,2250,,0.0,,
797,99,40,4150,,0.0,,
999,11,0,0,,0.0,,
197,0,56,0,,,,
897,0,0,0,,,,
997,0,0,0,,,,
