theatre_name,city,state,lat,lon,confidence,query_used
Coorparoo 10,Brisbane - South,Queensland,-27.496182,153.0609426,7.694132906076169e-05,"Coorparoo 10, Queensland, Australia"
Garden City Mt. Gravatt 16,Brisbane - South,Queensland,-27.5668218,153.0865958,0.0800769413290607,"Garden City Mt. Gravatt 16, Queensland, Australia"
Loganholme 12,Brisbane - South,Queensland,-27.683054,153.1894379,0.3028919399483277,"Loganholme 12, Queensland, Australia"
Sunnybank 8,Brisbane - South,Queensland,-27.5741448,153.0589657,7.694132906076169e-05,"Sunnybank 8, Queensland, Australia"
Indooroopilly 16,Brisbane - West,Queensland,-27.5065612,152.9822777,0.3830754042266047,"Indooroopilly 16, Queensland, Australia"
Cairns Central 6,Cairns Region,Queensland,-23.642589,149.3300934,0.0533791676203555,"Cairns Central 6, Queensland, Australia"
Cairns Smithfield 6,Cairns Region,Queensland,-16.852024,145.6956203,0.0533964545662622,"Cairns Smithfield 6, Queensland, Australia"
Rockhampton 6,Central Queensland,Queensland,-23.3782137,150.5134227,0.5359350648824058,"Rockhampton 6, Queensland, Australia"
Coomera 5,Gold Coast,Queensland,-27.8683965,153.3192117,0.0800670122835126,"Coomera 5, Gold Coast, Queensland, Australia"
Springfield 8,Ipswich Region,Queensland,-27.6320423,153.0316423,7.694132906076169e-05,"Springfield 8, Queensland, Australia"
Mount Pleasant 6,Mackay - Isaac - Whitsunday,Queensland,-27.1648516,152.7834819,0.3047903492217065,"Mount Pleasant 6, Queensland, Australia"
Kawana 9,Sunshine Coast,Queensland,-26.715745,153.121998,0.0800561051346608,"Kawana 9, Sunshine Coast, Queensland, Australia"
Maroochydore 12,Sunshine Coast,Queensland,-26.6702988,153.0669563,5.610513466082273e-05,"Maroochydore 12, Sunshine Coast, Queensland, Australia"
Noosa 5,Sunshine Coast,Queensland,-26.4736093,152.9572978,0.0533894384679941,"Noosa 5, Sunshine Coast, Queensland, Australia"
Townsville Central 5,Townsville Region,Queensland,-35.3270481,149.1838579,7.258182650487553e-05,"Townsville Central 5, Australia"
Bundaberg 4,Wide Bay,Queensland,-24.8653253,152.3516785,0.5025539344482836,"Bundaberg 4, Queensland, Australia"
East End Nova 12,Adelaide - Central and Hills,South Australia,-34.9959059,143.6394894,0.1067149698634317,"East End Nova 12, Australia"
Norwood 6,Adelaide - Central and Hills,South Australia,-34.9218686,138.637857,7.489051651784569e-05,"Norwood 6, South Australia, Australia"
Piccadilly 3,Adelaide - Central and Hills,South Australia,-34.9822479,138.7262528,0.2901765588551152,"Piccadilly 3, South Australia, Australia"
Salisbury 8,Adelaide - North,South Australia,-34.754885,138.6482761,7.489051651784569e-05,"Salisbury 8, South Australia, Australia"
Marion 26,Adelaide - South,South Australia,-35.0183351,138.5589777,0.0534082238498511,"Marion 26, Adelaide - South, South Australia, Australia"
West Lakes 7,Adelaide - West,South Australia,-34.8774096,138.4944993,0.0534082238498511,"West Lakes 7, Adelaide - West, South Australia, Australia"
Bendigo 7,Bendigo,Victoria (inc TAS),-36.7693742,144.3056134,5.914930952921367e-05,"Bendigo 7, Australia"
Casino 13,Central Inner Melbourne,Victoria (inc TAS),-33.7359577,150.93436,8.246051728079679e-05,"Casino 13, Australia"
Docklands 8,Central Inner Melbourne,Victoria (inc TAS),-37.8194588,144.9478508,8.045242999919154e-05,"Docklands 8, Australia"
Kino 7,Central Inner Melbourne,Victoria (inc TAS),-12.4753103,131.0083063,0.0533733340962843,"Kino 7, Australia"
Melbourne Central 12,Central Inner Melbourne,Victoria (inc TAS),-35.2788314,149.1283647,0.0800725818265049,"Melbourne Central 12, Australia"
Melbourne IMAX,Central Inner Melbourne,Victoria (inc TAS),-37.8035056,144.9706364,0.3331894015087746,"Melbourne IMAX, Australia"
Northcote Westgarth 5,Central Inner Melbourne,Victoria (inc TAS),-37.7783567,144.9910336,8.045242999919154e-05,"Northcote Westgarth 5, Australia"
Victoria Gardens 9,Central Inner Melbourne,Victoria (inc TAS),-33.7945852,151.1915181,0.0800824605172808,"Victoria Gardens 9, Australia"
Geelong 11,Geelong,Victoria (inc TAS),-38.131608,144.3210535,6.163500419618552e-05,"Geelong 11, Australia"
Waurn Ponds 8,Geelong,Victoria (inc TAS),-38.2037227,144.3022306,0.2108058971172112,"Waurn Ponds 8, Australia"
Eastlands 4,Hobart,Victoria (inc TAS),-42.8666358,147.368379,0.040069429312581,"Eastlands 4, Australia"
Glenorchy 4,Hobart,Victoria (inc TAS),-37.7889177,144.5412775,8.045242999919154e-05,"Glenorchy 4, Australia"
Balwyn 11,Inner East Melbourne,Victoria (inc TAS),-37.8062176,145.0846856,8.045242999919154e-05,"Balwyn 11, Australia"
Doncaster 9,Inner East Melbourne,Victoria (inc TAS),-37.7837341,145.1399164,8.045242999919154e-05,"Doncaster 9, Australia"
Southland 16,Inner South Melbourne,Victoria (inc TAS),-37.8563275,145.0680569,0.0534137857633325,"Southland 16, Australia"
Morwell 8,Latrobe - Gippsland,Victoria (inc TAS),-38.234455,146.4257436,4.8924238956237394e-05,"Morwell 8, Australia"
Frankston 12,Mornington Peninsula,Victoria (inc TAS),-38.1519979,145.1406364,8.045242999919154e-05,"Frankston 12, Australia"
Epping 11,North East Melbourne,Victoria (inc TAS),-37.6375483,145.0117318,8.045242999919154e-05,"Epping 11, Australia"
Greensborough 8,North East Melbourne,Victoria (inc TAS),-37.7037444,145.0936756,8.045242999919154e-05,"Greensborough 8, Australia"
Northland 14,North East Melbourne,Victoria (inc TAS),-38.0896975,147.0716937,5.191805905236923e-05,"Northland 14, Australia"
Plenty Valley 9,North East Melbourne,Victoria (inc TAS),-37.7301457,145.0254918,0.0534137857633325,"Plenty Valley 9, Australia"
Airport West 8,North West Melbourne,Victoria (inc TAS),-37.7224972,144.8905589,8.045242999919154e-05,"Airport West 8, Australia"
Broadmeadows 7,North West Melbourne,Victoria (inc TAS),-37.6849381,144.9216457,8.045242999919154e-05,"Broadmeadows 7, Australia"
Pentridge 15,North West Melbourne,Victoria (inc TAS),-37.7394864,144.9711722,0.0534137857633325,"Pentridge 15, Australia"
Eastland 12,Outer East Melbourne,Victoria (inc TAS),-31.8868723,115.8593678,0.0534081872281986,"Eastland 12, Australia"
Forest Hill 6,Outer East Melbourne,Victoria (inc TAS),-37.8432234,145.1723434,8.045242999919154e-05,"Forest Hill 6, Australia"
Knox 15,Outer East Melbourne,Victoria (inc TAS),-33.720106,151.094033,8.246051728079679e-05,"Knox 15, Australia"
Shepparton 4,Shepparton,Victoria (inc TAS),-36.3654213,145.3916758,5.2858014801205727e-05,"Shepparton 4, Australia"
Chadstone 13,South East Melbourne,Victoria (inc TAS),-37.8882153,145.1071173,8.045242999919154e-05,"Chadstone 13, Australia"
Dandenong 6,South East Melbourne,Victoria (inc TAS),-37.9927845,145.1950422,8.045242999919154e-05,"Dandenong 6, Australia"
